event_id,date_start,date_end,event_name,event_type,regime,severity,sectors_impacted,sectors_helped,description
E014,2019-01-01,2019-12-31,Trade war resolution / Fed pivot,Recovery,Bull,Low,"Technology,Industrials","All sectors","Fed reversed rate hikes. Phase 1 trade deal. Markets recovered strongly. New highs."
E015,2020-02-19,2020-03-23,COVID-19 crash,Pandemic,Crisis,Extreme,"Airlines,Travel,Hotels,Retail,Oil","Technology,Healthcare,E-commerce,Delivery","Fastest bear market in history. S&P fell 34% in 33 days. Lockdowns worldwide. Oil went negative."
E016,2020-03-23,2021-12-31,COVID recovery / stimulus,Recovery,Bull,Low,"Technology,E-commerce,Healthcare,Biotech","Traditional retail,Office REITs","Unprecedented fiscal and monetary stimulus. WFH boom. Tech valuations surged. Retail investor surge."
E017,2021-01-25,2021-02-05,Meme stock mania,Speculation,Volatile,Low,"Short sellers","Retail brokerages,Options market","GameStop, AMC short squeezes. Retail investors vs hedge funds. Robinhood halted trading."
E018,2021-11-01,2022-12-31,Fed rate hike cycle / inflation,Macro,Bear,Severe,"Technology,Growth stocks,Crypto,ARK-style","Energy,Value stocks,Financials","Inflation hit 9%. Fed hiked rates from 0 to 5.25%. Growth stocks crushed. NASDAQ fell 33%."
E019,2022-02-24,2023-12-31,Russia invades Ukraine,Geopolitical,Volatile,Severe,"Energy,Food,Fertilisers,European stocks","Defence,Cybersecurity,LNG","Full invasion. Gas prices surged in Europe. Wheat spiked. NATO defence spending commitments rose."
E020,2022-03-01,2022-12-31,European energy crisis,Commodity,Bear,Severe,"European industrials,Chemicals,Consumer","LNG exporters,Nuclear,Renewables","Russia cut gas supplies. European energy prices surged 10x. Industrial production threatened."
E021,2023-03-10,2023-05-01,US regional banking crisis,Sector,Volatile,Moderate,"Regional banks,Commercial Real Estate","Large-cap banks,Money market funds","SVB collapsed. Signature Bank failed. Credit Suisse rescued. Contagion fears. Fed backstopped deposits."
E022,2023-01-01,2024-12-31,AI boom,Technology,Bull,Low,"Technology,Semiconductors,Data centres,Power","Traditional media,Call centres,Consulting","ChatGPT launch Jan 2023. Nvidia surged 800%. AI infrastructure buildout. Power demand surge."
E023,2023-10-07,2024-12-31,Middle East conflict escalation,Geopolitical,Volatile,Moderate,"Airlines,Tourism,Oil,Insurance","Defence,Gold,Cybersecurity","Hamas attack. Iran-Israel tensions. Shipping through Red Sea disrupted. Houthi attacks on vessels."
E024,2024-01-01,2024-12-31,Election supercycle,Political,Volatile,Moderate,"Renewables,Healthcare,Defence","Varies by outcome","60+ countries held elections. US election Nov 2024. Policy uncertainty across sectors."
E025,2025-04-02,2025-04-10,Trump tariff crash,Trade,Crisis,Severe,"Technology,Industrials,Retail,Consumer Discretionary","Domestic US,Defence","Sweeping tariffs announced. Largest 2-day loss in history - $6.6 trillion. China retaliated 34%."
E026,2025-04-10,2026-06-06,Tariff negotiation period,Trade,Volatile,Moderate,"Technology,Industrials","Domestic US producers","90-day pause announced. Markets partially recovered. Trade negotiations ongoing."
